Id;Title;Year;Journal;First_Author;Abstract;Year_class
48;Systemic lupus erythematosus complicated with femoral head ischemic necrosis treated by Chinese medicine therapy for activating blood and dredging collaterals method.;2011;Chinese journal of integrative medicine;Wang W;OBJECTIVE: To observe the effect and mechanism of Chinese medicine therapy for activating blood and dredging collaterals (ABDC) on treating systemic lupus erythematosus complicated with avascular necrosis of the femoral head (SLE-ANFH). METHODS: Thirty-four patients (51 joints) with SLE-ANFH were assigned by a random number table to two groups: 22 patients (32 joints) in the treatment group and 12 patients (19 joints) in the control group. All received Western medical conventional treatment for anti-inflammation and immunosuppression, but an additional Chinese medicine decoction prescribed based on ABDC principle was administered to patients in the treatment group. The observation on the patients' condition and therapeutic effect lasted for 3 years. RESULTS: The patients' conditions in the two groups, as assessed by Association for Research Circulation Osseous (ARCO) staging, were similar before treatment. After treatment, comparison between groups showed significant difference (P<0.05), and the raised  Harris functional scores in the treatment group were higher than that in the control group (P<0.01). The post-treatment symptom improving rate in the treated  group was 72.73%, which was higher than that in the control group (50.00%, P<0.05). Moreover, the former was superior in improving hematologic and hemorrheologic parameters in terms of prolonging activated partial thromboplastin time, lowering whole blood middle/low shear viscosity, and plasma viscosity (P<0.05 or P<0.01). Two patients in the control group but none in the treatment group received hip joint replacement operation during the observation period. CONCLUSIONS: Chinese medicine ABDC therapy could effectively alleviate clinical symptoms and improve joint function of patients with SLE-ANFH. The mechanism may  be related to its effects on improving high coagulation manner and trend for getting embolism.;2010-2012
49;SF-36 summary and subscale scores are reliable outcomes of neuropsychiatric events in systemic lupus erythematosus.;2011;Annals of the rheumatic diseases;Hanly JG;"OBJECTIVE: To examine change in health-related quality of life in association with clinical outcomes of neuropsychiatric events in systemic lupus erythematosus (SLE). METHODS: An international study evaluated newly diagnosed SLE patients for neuropsychiatric events attributed to SLE and non-SLE causes. The outcome of events was determined by a physician-completed seven-point scale and compared with patient-completed Short Form 36 (SF-36) health survey questionnaires. Statistical analysis used linear mixed-effects regression models with patient-specific random effects. RESULTS: 274 patients (92% female; 68% Caucasian), from a cohort of 1400, had one or more neuropsychiatric event in which the interval between assessments was 12.3 +/- 2 months. The overall difference in change between visits in mental component summary (MCS) scores of the SF-36 was significant (p<0.0001) following adjustments for gender, ethnicity, centre and previous score. A consistent improvement in neuropsychiatric status (N=295) was associated with an increase in the mean (SD) adjusted MCS score of 3.66 (0.89) in SF-36 scores. Between paired visits when the neuropsychiatric status consistently deteriorated (N=30), the adjusted MCS score decreased by 4.00 (1.96). For the physical component summary scores the corresponding changes were  +1.73 (0.71) and -0.62 (1.58) (p<0.05), respectively. Changes in SF-36 subscales  were in the same direction (p<0.05; with the exception of role physical). Sensitivity analyses confirmed these findings. Adjustment for age, education, medications, SLE disease activity, organ damage, disease duration, attribution and characteristics of neuropsychiatric events did not substantially alter the results. CONCLUSION: Changes in SF-36 summary and subscale scores, in particular  those related to mental health, are strongly associated with the clinical outcome of neuropsychiatric events in SLE patients.";2010-2012
50;Systemic lupus erythematosus disease activity index 2000 responder index-50: a reliable index for measuring improvement in disease activity.;2011;The Journal of rheumatology;Touma Z;OBJECTIVE: To test the interrater and intrarater reliability of the Systemic Lupus Erythematosus Disease Activity Index 2000 (SLEDAI-2K) Responder Index (SRI-50), an index designed to measure >/= 50% improvement in disease activity between visits in patients with systemic lupus erythematosus. METHODS: This was a multicenter, cross-sectional study with raters from Canada, the United Kingdom, and Argentina. Patient profile scenarios were derived from real adult patients. Ten rheumatologists from university and community hospitals and postdoctoral rheumatology fellows participated. An SRI-50 data retrieval form was used. Each rheumatologist scored SLEDAI-2K at the baseline visit and SRI-50 on followup visit, for the same patients, on 2 occasions 2 weeks apart. Physician global assessment (PGA) was determined on a numerical scale at baseline visit and a Likert scale on followup visit. Interrater and intrarater reliability was assessed using intraclass correlation coefficient (ICC) and kappa statistics whenever applicable. RESULTS: Forty patient profiles were created. The ICC performed on 80 patient profiles for interrater ranged from 1.00 for SLEDAI-2K and SRI-50 to 0.96 for PGA. The intrarater ICC for SLEDAI-2K, SRI-50, and PGA scores ranged from 1.00 to 0.86. Substantial agreement was determined for the interrater Likert scale, with a kappa statistic of 0.57. CONCLUSION: The SRI-50 is reliable to assess >/= 50% improvement in lupus disease activity. Use of the SRI-50 data retrieval form is essential to ensure optimal performance of the SRI-50. SRI-50 can be used by both rheumatologists and trainees and performs equally well in trained as well as untrained rheumatologists.;2010-2012
51;Using the Center for Epidemiologic Studies Depression Scale to screen for depression in systemic lupus erythematosus.;2011;Arthritis care & research;Julian LJ;"OBJECTIVE: Identifying persons with systemic lupus erythematosus (SLE) at risk for depression would facilitate the identification and treatment of an important  comorbidity conferring additional risk for poor outcomes. The purpose of this study was to determine the utility of a brief screening measure, the Center for Epidemiologic Studies Depression Scale (CES-D), in detecting mood disorders in persons with SLE. METHODS: This cross-sectional study examined 150 persons with SLE. Screening cut points were empirically derived using threshold selection methods, and receiver operating characteristic curves were estimated. The empirically derived cut points of the CES-D were used as the screening measures and were compared to other commonly used CES-D cut points in addition to other commonly used methods to screen for depression. Diagnoses of major depressive disorder or other mood disorders were determined using a ""gold standard"" structured clinical interview. RESULTS: Of the 150 persons with SLE, 26% of subjects met criteria for any mood disorder and 17% met criteria for major depressive disorder. Optimal threshold estimations suggested a CES-D cut score of 24 and above, which yielded adequate sensitivity and specificity in detecting major depressive disorder (88% and 93%, respectively) and correctly classified 92% of participants. To detect the presence of any mood disorder, a cut score of  20 and above was suggested, yielding sensitivity and specificity of 87% and correctly classifying 87%. CONCLUSION: These results suggest the CES-D may be a useful screening measure to identify patients at risk for depression.";2010-2012
52;Serum free light chains as biomarkers for systemic lupus erythematosus disease activity.;2011;Arthritis care & research;Aggarwal R;"OBJECTIVE: To evaluate serum free light chains (FLC) as a putative biomarker of systemic lupus erythematosus (SLE) activity. METHODS: Seventy-five SLE patients and 41 age- and sex-matched rheumatoid arthritis (RA) controls were enrolled. Disease activity was assessed using the Safety of Estrogens in Lupus Erythematosus: National Assessment version of the Systemic Lupus Erythematosus Disease Activity Index (SLEDAI) definition and physician global assessments for SLE and the Disease Activity Score in 28 joints for RA. Serum FLC levels were compared against other biomarkers (IgG, C3, C4, double-stranded DNA [dsDNA] antibody). Nonparametric tests were used to compare 1) FLC and IgG in SLE versus  RA and healthy controls, 2) FLC and IgG among different levels of activity in SLE, and 3) FLC in active versus nonactive RA. Correlation of FLC, C3, C4, dsDNA  antibody, and IgG with the SLEDAI and modified SLEDAI (M-SLEDAI) were obtained. RESULTS: FLC was higher in SLE than in RA; both were higher than referent healthy controls. Total FLC was significantly higher in subjects with greater SLE disease activity than lower/no activity. There were no significant differences in IgG, C4, or dsDNA antibody stratified by disease activity. Total FLC and C3 showed moderate to strong correlation with the SLEDAI and M-SLEDAI. In RA, no differences were seen in FLC levels for different levels of disease activity. Similar results were seen after controlling for renal function, age, and sex. In  multiple linear regression, FLC significantly explained 50% variance of the SLEDAI after adjusting for renal function, age, and sex. CONCLUSION: Serum FLC levels correlate strongly with disease activity in SLE, but not in RA. Serum FLC  may be used as a biomarker of SLE disease activity.";2010-2012
53;Pregnane progestin contraception in systemic lupus erythematosus: a longitudinal  study of 187 patients.;2011;Contraception;Chabbert-Buffet N;BACKGROUND: Systemic lupus erythematosus (SLE) affects women of child-bearing age. Combined oral contraceptives can worsen the course and increase the risk of  thrombosis. The objectives of this study were to provide an alternative contraception and thus evaluate the gynecological tolerability of pregnane progestins (PPs) in SLE patients. Systemic lupus erythematosus disease activity and vascular tolerance were also reported. STUDY DESIGN: We used two PP with antigonadotropic potencies, chlormadinone acetate (CMA, 10 mg/day) and cyproterone acetate (CPA, 50 mg/day), administered orally for contraception in 187 SLE patients observed for 46+/-34.6 months (mean+/-S.E.), i.e., 6854 women-months. RESULTS: The gynecological tolerability was satisfactory: breakthrough bleeding was reported in 17.7% patients using CPA and 12.6% patients using CMA. No pregnancy was observed in the women followed in this cohort study.  One deep vein thrombosis, one myocardial infarction, and one tibial posterior arterial occlusion were observed, giving an incidence for venous thromboembolism  of 1.39/yearx1000 women (95% CI 0-4.12) and for macroarterial disease an incidence of 2.79/yearx1000 women (95% CI 0-6.65). Disease activity was less than before progestins. CONCLUSIONS: Pregnane progestin contraception is effective and well tolerated, thus providing SLE patients an excellent contraceptive alternative to the currently used methods.;2010-2012
54;Efficacy and safety of belimumab in patients with active systemic lupus erythematosus: a randomised, placebo-controlled, phase 3 trial.;2011;Lancet;Navarra SV;"BACKGROUND: Systemic lupus erythematosus is a heterogeneous autoimmune disease that is associated with B-cell hyperactivity, autoantibodies, and increased concentrations of B-lymphocyte stimulator (BLyS). The efficacy and safety of the  fully human monoclonal antibody belimumab (BLyS-specific inhibitor) was assessed  in patients with active systemic lupus erythematosus. METHODS: Patients (aged >/=18 years) who were seropositive with scores of at least 6 on the Safety of Estrogens in Lupus Erythematosus National Assessment-Systemic Lupus Erythematosus Disease Activity Index (SELENA-SLEDAI) were enrolled in a multicentre phase 3 study, which was done in Latin America, Asia-Pacific, and eastern Europe. Patients were randomly assigned by use of a central interactive voice response system in a 1:1:1 ratio to belimumab 1 mg/kg or 10 mg/kg, or placebo by intravenous infusion in 1 h on days 0, 14, and 28, and then every 28 days until 48 weeks, with standard of care. Patients, investigators, study coordinators, and sponsors were masked to treatment assignment. Primary efficacy endpoint was improvement in the Systemic Lupus Erythematosus Responder Index (SRI) at week 52  (reduction >/=4 points in SELENA-SLEDAI score; no new British Isles Lupus Assessment Group [BILAG] A organ domain score and no more than 1 new B organ domain score; and no worsening [<0.3 increase] in Physician's Global Assessment [PGA] score) versus baseline. Method of analysis was by modified intention to treat. This trial is registered with ClinicalTrials.gov, number NCT00424476. FINDINGS: 867 patients were randomly assigned to belimumab 1 mg/kg (n=289) or 10  mg/kg (n=290), or placebo (n=288). 865 were treated and analysed in the belimumab (1 mg/kg, n=288; 10 mg/kg, n=290) and placebo groups (n=287). Significantly higher SRI rates were noted with belimumab 1 mg/kg (148 [51%], odds ratio 1.55 [95% CI 1.10-2.19]; p=0.0129) and 10 mg/kg (167 [58%], 1.83 [1.30-2.59]; p=0.0006) than with placebo (125 [44%]) at week 52. More patients had their SELENA-SLEDAI score reduced by at least 4 points during 52 weeks with belimumab 1 mg/kg (153 [53%], 1.51 [1.07-2.14]; p=0.0189) and 10 mg/kg (169 [58%], 1.71 [1.21-2.41]; p=0.0024) than with placebo (132 [46%]). More patients given belimumab 1 mg/kg (226 [78%], 1.38 [0.93-2.04]; p=0.1064) and 10 mg/kg (236 [81%], 1.62 [1.09-2.42]; p=0.0181) had no new BILAG A or no more than 1 new B flare than did those in the placebo group (210 [73%]). No worsening in PGA score  was noted in more patients with belimumab 1 mg/kg (227 [79%], 1.68 [1.15-2.47]; p=0.0078) and 10 mg/kg (231 [80%], 1.74 [1.18-2.55]; p=0.0048) than with placebo  (199 [69%]). Rates of adverse events were similar in the groups given belimumab 1 mg/kg and 10 mg/kg, and placebo: serious infection was reported in 22 (8%), 13 (4%), and 17 (6%) patients, respectively, and severe or serious hypersensitivity  reactions on an infusion day were reported in two (<1%), two (<1%), and no patients, respectively. No malignant diseases were reported. INTERPRETATION: Belimumab has the potential to be the first targeted biological treatment that is approved specifically for systemic lupus erythematosus, providing a new option for the management of this important prototypic autoimmune disease. FUNDING: Human Genome Sciences and GlaxoSmithKline.";2010-2012
55;The use of Systemic Lupus Erythematosus Disease Activity Index-2000 to define active disease and minimal clinically meaningful change based on data from a large cohort of systemic lupus erythematosus patients.;2011;Rheumatology (Oxford, England);Yee CS;OBJECTIVES: To examine SLEDAI-2000 cut-off scores for definition of active SLE and to determine the sensitivity to change of SLEDAI-2000 for the assessment of SLE disease activity and minimal clinically meaningful changes in score. METHODS: Data from two multi-centre studies were used in the analysis: in a cross-sectional and a longitudinal fashion. At every assessment, data were collected on SLEDAI-2000 and treatment. The cross-sectional analysis with receiver operating characteristic (ROC) curves was used to examine the appropriate SLEDAI-2000 score to define active disease and increase in therapy was the reference standard. In the longitudinal analysis, sensitivity to change of SLEDAI-2000 was assessed with multinomial logistic regression. ROC curves analysis was used to examine possible cut-points in score changes associated with change in therapy, and mean changes were estimated. RESULTS: In the cross-sectional analysis, the most appropriate cut-off scores for active disease  were 3 or 4. In the longitudinal analysis, the best model for predicting treatment increase was with the change in SLEDAI-2000 score and the score from the previous visit as continuous variables. The use of cut-points was less predictive of treatment change than the use of continuous score. The mean difference in the change in SLEDAI-2000 scores, adjusted for prior score, between patients with treatment increase and those without was 2.64 (95% CI 2.16, 3.14).  CONCLUSIONS: An appropriate SLEDAI-2000 score to define active disease is 3 or 4. SLEDAI-2000 index is sensitive to change. The use of SLEDAI-2000 as a continuous  outcome is recommended for comparative purposes.;2010-2012
56;An assessment of disease flare in patients with systemic lupus erythematosus: a comparison of BILAG 2004 and the flare version of SELENA.;2011;Annals of the rheumatic diseases;Isenberg DA;"AIMS: To compare the British Isles Lupus Assessment Group (BILAG) 2004, the Safety of Estrogens in Lupus Erythematosus National Assessment (SELENA) flare index (SFI) and physician's global assessment (PGA) in assessing flares of disease activity in patients with systemic lupus erythematosus (SLE). METHODS: Sixteen patients with active SLE were assessed by a panel of 16 rheumatologists.  The order in which the patients were seen was randomised using a 4x4 Latin square design. Each patient's flare status was determined at each assessment using the BILAG 2004 activity index; the SFI and a PGA. A group of five specialists designated each patient into severe, moderate, mild or no flare categories. RESULTS: The rate of complete agreement (95% CI) of the four individual examining physicians for any flare versus no flare was 81% (55% to 94%), 75% (49% to 90%) and 75% (49% to 90%) for the BILAG 2004 index, SELENA flare instrument and PGA, respectively. The overall agreement between flare defined by BILAG 2004 and the SFI was 81% and when type of flare was considered was 52%. Intraclass correlation coefficients (95% CI), as a measure of internal reliability, were 0.54 (0.32 to 0.78) for BILAG 2004 flare compared with 0.21 (0.08 to 0.48) for SELENA flare and 0.18 (0.06 to 0.45) for PGA. Severe flare was associated with good agreement between the indices but mild/moderate flare was much less consistent. CONCLUSIONS: The assessment of flare in patients with SLE is challenging. No flare and severe flare are identifiable but further work is needed to optimise the accurate 'capture' of mild and moderate flares.";2010-2012
57;Insecticide use and risk of rheumatoid arthritis and systemic lupus erythematosus in the Women's Health Initiative Observational Study.;2011;Arthritis care & research;Parks CG;OBJECTIVE: Farming and agricultural pesticide use has been associated with 2 autoimmune rheumatic diseases, rheumatoid arthritis (RA) and systemic lupus erythematosus (SLE). However, risk associated with other residential or work place insecticide use is unknown. METHODS: We analyzed data from the Women's Health Initiative Observational Study (n=76,861 postmenopausal women, ages 50-79  years). Incident cases (n=213: 178 for RA, 27 for SLE, and 8 for both) were identified based on self-report and use of disease-modifying antirheumatic drugs  at year 3 of followup. We examined self-reported residential or work place insecticide use (personally mixing/applying by self and application by others) in relation to RA/SLE risk, overall and in relation to farm history. Hazard ratios (HRs) and 95% confidence intervals (95% CIs) were adjusted for age, race, region, education, occupation, smoking, reproductive factors, asthma, other autoimmune diseases, and comorbidities. RESULTS: Compared with never used, personal use of insecticides was associated with increased RA/SLE risk, with significant trends for greater frequency (HR 2.04, 95% CI 1.17-3.56 for >/=6 times/year) and duration (HR 1.97, 95% CI 1.20-3.23 for >/=20 years). Risk was also associated with long-term insecticide application by others (HR 1.85, 95% CI 1.07-3.20 for >/=20 years) and frequent application by others among women with a farm history (HR 2.73, 95% CI 1.10-6.78 for >/=6 times/year). CONCLUSION: These results suggest residential and work place insecticide exposure is associated with the risk of autoimmune rheumatic diseases in postmenopausal women. Although these findings require replication in other populations, they support a role for environmental pesticide exposure in the development of autoimmune rheumatic diseases.;2010-2012
58;Quantification of regulatory T cells in peripheral blood of patients with systemic lupus erythematosus.;2011;Rheumatology international;Habibagahi M;Regulatory T cells (Tregs) are supposed to stop immune responses in the course of immune activation. However, chronic activation of immune system in systemic lupus erythematosus (SLE) and many other autoreactive disorders are evidence of malfunction of this system. Therefore, it is plausible to quantify presence of these cells in different diseases. Forty-one patients with diagnosis of SLE were  enrolled in this study. Patients were divided into two groups of patients with active and inactive disease based on the disease activity score. Flow cytometry analysis was used to determine the frequency of regulatory T cells in peripheral  blood according to high expression of CD25 and intracellular Forkhead/winged-helix (Foxp3). Further 30 healthy individuals considered as control group. Significantly less CD4+CD25hi regulatory T cells were detected in  active patients (P < 0.001) compared to healthy individuals. The percentage of CD4+CD25hi cells were inversely correlated with the SLEDAI disease score in patients with active disease (r = -0.837, P < 0.0001). Patients with active disease had lower frequencies of CD4+Foxp3+ cells. However, increased frequencies of CD4+Foxp3+ T cells were observed in peripheral blood of patients with inactive disease compared with active patients or healthy individuals (P < 0.010). Moreover, a significant difference between the proportion of CD4+CD25-Foxp3+ population in healthy controls and patients with active disease was shown (P < 0.0005). Presence of lower frequencies of Tregs in patients with SLE could be evaluated as an immune turbulence and could be employed as a target for immunotherapeutic manipulation. However, controversies need to be resolved.;2010-2012
59;Single center prospective study of tacrolimus efficacy and safety in the treatment of various manifestations in systemic lupus erythematosus.;2011;Rheumatology international;Suzuki K;The aim of this study was to prospectively evaluate the efficacy and safety of tacrolimus (TAC) in various manifestations of systemic lupus erythematosus (SLE)  patients in daily clinical practice. Each of the 21 TAC-treated patients with SLE in our care over 2 years was enrolled in this open-label trial. Patients were administered TAC at a dosage of 1-6 mg once daily, followed up for 24 weeks. Efficacy and safety were evaluated utilizing clinical and laboratory findings. As treatment targets, TAC was preferentially used with oral corticosteroid administration for mild active manifestations such as arthritis, skin eruptions,  or asymptomatic nephritis. In efficacy, the mean value of the SLE disease activity index was significantly reduced to 4.1, 2.7, 1.8, and 1.2 (N=21, 20, 16  and 13) at 0, 4, 12, and 24 weeks, respectively. In eight cases, treatment was discontinued within 24 weeks due to insufficient effects (6 cases) and side effects (2 cases). Non-serious side effects were observed in only five cases (23.8%) over 24 weeks. TAC can be considered both effective and safe for the treatment of various manifestations of SLE.;2010-2012
60;Serum concentrations of 25-OH vitamin D in patients with systemic lupus erythematosus (SLE) are inversely related to disease activity: is it time to routinely supplement patients with SLE with vitamin D?;2010;Annals of the rheumatic diseases;Amital H;BACKGROUND: Low serum vitamin D concentrations have been reported in several autoimmune disorders. OBJECTIVE: To assess whether low serum vitamin D concentrations are related to disease activity of patients with systemic lupus erythematosus (SLE). METHODS: 378 patients from several European and Israeli cohorts were pooled and their disease activity was measured by two different methods: 278 patients had SLE disease activity-2000 (SLEDAI-2K) scores and 100 patients had European Consensus Lupus Activity Measurement (ECLAM) scores. In order to combine the two systems the scores were converted into standardised values (z-scores), enabling univariate summary statistics for the two variables (SLEDAI-2K and ECLAM). The commercial kit, LIAISON 25-OH vitamin D assay (310900-Diasorin) was used to measure serum concentration of 25-OH vitamin D in 378 patients with SLE. RESULTS: A significant negative correlation was demonstrated between the serum concentration of vitamin D and the standardised values (z-scores) of disease activity scores as measured by the SLEDAI-2K and ECLAM scales (Pearson's correlation coefficient r=-0.12, p=0.018). CONCLUSIONS: In a cohort of patients with SLE originating from Israel and Europe vitamin D serum concentrations were found to be inversely related to disease activity.;2010-2012
61;Laboratory markers of cardiovascular risk in pediatric SLE: the APPLE baseline cohort.;2010;Lupus;Ardoin SP;As part of the Atherosclerosis Prevention in Pediatric Lupus Erythematosus (APPLE) Trial, a prospective multicenter cohort of 221 children and adolescents with systemic lupus erythematosus (SLE) (mean age 15.7 years, 83% female) underwent baseline measurement of markers of cardiovascular risk, including fasting levels of high-density lipoprotein (HDL), low-density lipoprotein (LDL),  triglycerides (TG), lipoprotein A (Lpa), homocysteine and high-sensitivity C-reactive protein (hs-CRP). A cross-sectional analysis of the baseline laboratory values and clinical characteristics of this cohort was performed. Univariable relationships between the cardiovascular markers of interest and clinical variables were assessed, followed by multivariable linear regression modeling. Mean levels of LDL, HDL, Lpa, TG, hs-CRP and homocysteine were in the normal or borderline ranges. In multivariable analysis, increased Systemic Lupus  Erythematosus Disease Activity Index (SLEDAI), prednisone dose, and hypertension  (HTN) were independently associated with higher LDL levels. Higher hs-CRP and creatinine clearance were independently related to lower HDL levels. Higher body  mass index (BMI), prednisone dose, and homocysteine levels were independently associated with higher TG levels. Only Hispanic or non-White status predicted higher Lpa levels. Proteinuria, higher TG and lower creatinine clearance were independently associated with higher homocysteine levels, while use of multivitamin with folate predicted lower homocysteine levels. Higher BMI, lower HDL, and longer SLE disease duration, but not SLEDAI, were independently associated with higher hs-CRP levels. The R(2) for these models ranged from 7% to 23%. SLE disease activity as measured by the SLEDAI was associated only with higher LDL levels and not with hs-CRP. Markers of renal injury (HTN, proteinuria, and creatinine clearance) were independently associated with levels of LDL, HDL,  and homocysteine, highlighting the importance of renal status in the cardiovascular health of children and adolescents with SLE. Future longitudinal analysis of the APPLE cohort is needed to further examine these relationships.;2010-2012
62;Prospective validation of the provisional criteria for the evaluation of response to therapy in childhood-onset systemic lupus erythematosus.;2010;Arthritis care & research;Brunner HI;OBJECTIVE: To prospectively validate the provisional criteria for the evaluation  of response to therapy in children with systemic lupus erythematosus (SLE).;2010-2012
63;Atorvastatin therapy reduces interferon-regulated chemokine CXCL9 plasma levels in patients with systemic lupus erythematosus.;2010;Lupus;Ferreira GA;"A recent study showed transcriptional levels of interferon-inducible chemokines in peripheral blood cells were associated with disease activity and organ damage  in systemic lupus erythematosus, and may be useful in monitoring disease activity and prognosis. Our objective was to evaluate the capacity of atorvastatin to reduce plasma levels of interferon-regulated chemokines (CCL2, CCL3 and CXCL9) and to study the correlation between these chemokines and disease activity in patients with systemic lupus erythematosus. Eighty-eight female patients with systemic lupus erythematosus were divided into two groups: 64 receiving 20 mg/day of atorvastatin (intervention group) and 24 without atorvastatin (control group). All patients were followed for 8 weeks. At baseline and after 8 weeks laboratory  tests were performed for all patients. Plasma levels of chemokines were measured  by ELISA using commercial kits (DuoSet, R&D Systems, Minneapolis, USA). In a univariate analysis we found correlation between CCL2, CCL3 and CXCL9 plasma levels and SLEDAI score. In the intervention group we observed a significant decrease in CXCL9 plasma levels comparing baseline and levels at the end of the study (p = 0.04); however, no differences were observed regarding CCL2 or CCL3 plasma levels in this study. No significant difference was observed in the plasma levels of these chemokines in the control group. We conclude that treatment with  atorvastatin was associated with a significant decrease in the plasma levels of CXCL9 in patients with systemic lupus erythematosus. As the plasma levels of CXCL9 correlated with the SLEDAI score, we ask whether reducing levels of this chemokine could help to control systemic lupus erythematosus activity.";2010-2012
64;Polymorphisms in the Hsp70 gene locus are genetically associated with systemic lupus erythematosus.;2010;Annals of the rheumatic diseases;Furnrohr BG;BACKGROUND: Heat shock proteins (Hsps) play a role in the delivery and presentation of antigenic peptides and are thought to be involved in the pathogenesis of multifactorial diseases. OBJECTIVE: To investigate genes encoding cytosolic Hsp70 proteins for associations of allelic variants with systemic lupus erythematosus (SLE). METHODS: Case-control studies of two independent Caucasian SLE cohorts were performed. In a haplotype-tagging single-nucleotide polymorphism approach, common variants of HspA1L, HspA1A and HspA1B were genotyped and principal component analyses were performed for the cohort from the Oklahoma Medical Research Foundation (OMRF). Relative quantification of mRNA was carried out for each Hsp70 gene in healthy controls. Conditional regression analysis was  performed to determine if allelic variants in Hsp70 act independently of HLA-DR3. RESULTS: On analysis of common genetic variants of HspA1L, HspA1A and HspA1B, a haplotype significantly associated with SLE in the Erlangen-SLE cohort was identified, which was confirmed in the OMRF cohort. Depending on the cohorts, OR  ranging from 1.43 to 1.88 and 2.64 to 3.16 was observed for individuals heterozygous and homozygous for the associated haplotype, respectively. Patients  carrying the risk haplotype or the risk allele more often displayed autoantibodies to Ro and La in both cohorts. In healthy controls bearing this haplotype, the amount of HspA1A mRNA was significantly increased, whereas total Hsp70 protein concentration was not altered. CONCLUSIONS: Allelic variants of the Hsp70 genes are significantly associated with SLE in Caucasians, independently of HLA-DR3, and correlate with the presence of autoantibodies to Ro and La. Hence, the Hsp70 gene locus appears to be involved in SLE pathogenesis. AD  - Nikolaus-Fiebiger Centre of Molecular Medicine, University of Erlangen-Nuremberg, Germany.;2010-2012
65;The BILAG multi-centre open randomized controlled trial comparing ciclosporin vs  azathioprine in patients with severe SLE.;2010;Rheumatology (Oxford, England);Griffiths B;"OBJECTIVE: To determine whether low-dose ciclosporin was a more effective corticosteroid-sparing agent than AZA in patients with SLE. METHODS: Patients with SLE requiring a change or initiation of a corticosteroid-sparing agent and who were taking > or =15 mg of prednisolone/day were randomized to receive either ciclosporin or AZA during this 12-month open-label multi-centre trial. There were strict guidelines for the reduction of prednisolone. The primary outcome was the  absolute mean change in prednisolone. RESULTS: Eighty-nine patients were randomized. Using an intention-to-treat analysis, the absolute mean change in prednisolone dose between baseline and 12 months, adjusted for baseline prednisolone dose, was 9.0 mg for ciclosporin (95% CI 7.2, 10.8) and 10.7 mg for  AZA (95% CI 8.8, 12.7). The difference in the change between treatment groups was -1.7 mg (95% CI -4.4, 0.9; P = 0.2). No significant differences were detected for the secondary outcomes: change in disease activity [classic British Isles Lupus Assessment Group (BILAG) index], number of flares, development of new damage or change in quality of life. A similar number of patients in each arm stopped the study drugs due to adverse events and ineffectiveness. No patient developed severe hypertension or a persistent rise in creatinine. One patient in the ciclosporin arm developed a significant increase in proteinuria due to disease activity. CONCLUSIONS: Both drugs were effective corticosteroid-sparing agents. Ciclosporin was not a more effective corticosteroid-sparing agent. Ciclosporin may be considered in patients who are unable to tolerate AZA. Patients on ciclosporin require close monitoring of blood pressure and creatinine. TRIAL REGISTRATION: Current Controlled Trials, http://www.controlled-trials.com/, ISRCTN35919612.";2010-2012
66;Assessment of cognitive function in systemic lupus erythematosus, rheumatoid arthritis, and multiple sclerosis by computerized neuropsychological tests.;2010;Arthritis and rheumatism;Hanly JG;OBJECTIVE: Computerized neuropsychological testing may facilitate screening for cognitive impairment in systemic lupus erythematosus (SLE). This study was undertaken to compare patients with SLE, patients with rheumatoid arthritis (RA), and patients with multiple sclerosis (MS) with healthy controls using the Automated Neuropsychological Assessment Metrics (ANAM). METHODS: Patients with SLE (n = 68), RA (n = 33), and MS (n = 20) were compared with healthy controls (n = 29). Efficiency of cognitive performance on 8 ANAM subtests was examined using  throughput (TP), inverse efficiency (IE), and adjusted IE scores. The latter is more sensitive to higher cognitive functions because it adjusts for the impact of simple reaction time on performance. The results were analyzed using O'Brien's generalized least squares test. RESULTS: Control subjects were the most efficient in cognitive performance. MS patients were least efficient overall (as assessed by TP and IE scores) and were less efficient than both SLE patients (P = 0.01) and RA patients (P < 0.01), who did not differ. Adjusted IE scores were similar between SLE patients, RA patients, and controls, reflecting the impact of simple  reaction time on cognitive performance. Thus, 50% of SLE patients, 61% of RA patients, and 75% of MS patients had impaired performance on >or=1 ANAM subtest.  Only 9% of RA patients and 11% of SLE patients had impaired performance on >or=4  subtests, whereas this was true for 20% of MS patients. CONCLUSION: ANAM is sensitive to cognitive impairment. While such computerized testing may be a valuable screening tool, our results emphasize the lack of specificity of slowed  performance as a reliable indicator of impairment of higher cognitive function in SLE patients.;2010-2012
